tconst	averageRating	numVotes
tt0001280	4.9	15
tt0001282	6.7	15
tt0001283	6.1	8
tt0001284	4.9	22
tt0001285	5.1	30
tt0001292	4.9	35
tt0001294	7.2	5
tt0001299	3.4	7
tt0001303	6.0	7
tt0001306	4.8	5
tt0001307	5.5	6
tt0001310	4.8	6
tt0001314	5.8	134
tt0001315	6.0	10
tt0001321	5.0	24
tt0001326	5.6	32
tt0001330	6.3	17
tt0001332	5.0	6
tt0001333	5.4	25
tt0001337	5.8	23
tt0001338	5.4	7
tt0001340	5.1	72
tt0001351	6.0	34
tt0001358	4.2	15
tt0001370	5.2	14
tt0001371	6.0	335
tt0001377	5.1	17
tt0001378	6.0	173
tt0001380	3.6	5
tt0001381	5.3	20
tt0001385	5.5	34
tt0001386	4.6	8
tt0001387	5.9	13
tt0001388	5.7	58
tt0001396	2.8	6
tt0001400	6.4	8
tt0001401	5.9	14
tt0001407	6.2	6
tt0001410	3.9	7
tt0001414	7.0	23
tt0001423	4.2	8
tt0001428	5.1	29
tt0001431	6.4	580
tt0001432	4.7	10
tt0001439	5.9	203
tt0001440	4.8	11
tt0001443	5.8	5
tt0001444	3.3	19
tt0001446	5.3	7
tt0001452	5.3	150
tt0001454	5.3	10
tt0001456	8.5	8
tt0001458	5.9	130
tt0001459	5.3	35
tt0001460	2.9	7
tt0001461	5.9	9
tt0001463	5.7	1310
tt0001469	5.7	66
tt0001475	7.4	14
tt0001481	5.7	9
tt0001482	5.0	27
tt0001488	6.3	367
tt0001490	4.8	9
tt0001496	4.2	33
tt0001497	7.2	5
tt0001498	7.2	5
tt0001499	5.5	248
tt0001500	5.7	6
tt0001508	5.0	13
tt0001510	5.4	27
tt0001517	5.6	14
tt0001518	5.7	7
tt0001519	4.9	17
tt0001527	7.7	2403
tt0001529	4.0	8
tt0001530	5.6	9
tt0001531	4.6	8
tt0001532	4.3	6
tt0001542	4.0	8
tt0001544	6.1	498
tt0001545	6.5	92
tt0001550	5.3	29
tt0001551	5.2	83
tt0001552	4.8	13
tt0001557	4.8	54
tt0001560	4.1	7
tt0001563	5.8	27
tt0001564	4.1	8
tt0001571	4.4	7
tt0001577	4.4	7
tt0001582	4.4	9
tt0001583	5.6	10
tt0001586	3.9	7
tt0001587	3.7	12
tt0001588	5.5	130
tt0001593	6.3	279
tt0001594	6.4	243
tt0001598	5.8	12
tt0001607	5.5	29
tt0001613	5.2	110
tt0001614	6.4	14
tt0001615	5.0	12
tt0001624	5.0	32
tt0001630	5.8	18
tt0001632	6.4	38
tt0001642	5.1	25
tt0001654	5.2	17
tt0001655	4.0	9
tt0001658	5.2	9
tt0001659	6.6	8
tt0001660	5.7	161
tt0001668	4.2	24
tt0001671	5.0	15
tt0001680	5.1	491
tt0001681	4.9	201
tt0001692	5.2	8
tt0001693	7.1	11
tt0001695	4.7	37
tt0001696	4.2	5
tt0001701	4.6	57
tt0001709	5.6	17
tt0001715	3.5	6
tt0001717	3.4	14
tt0001722	4.2	5
tt0001724	5.8	208
